timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2025-11-20,ADI.US,buy,234.4071,1459.87,signal,-6820.5961,2,-2.03
2025-11-20,ADI.US,buy,234.4071,1440.19,signal,0.0,0,0.0
2025-11-21,ADI.US,sell,225.5172,1440.19,signal,-12803.2148,1,-3.79
2025-12-01,ADI.US,buy,263.0815,1249.96,signal,0.0,0,0.0
2025-12-02,ADI.US,sell,268.0559,1249.96,signal,6217.8263,1,1.89
2025-12-04,ADI.US,sell,277.2213,1193.69,signal,0.0,0,0.0
2025-12-10,ADI.US,buy,275.7878,1193.69,signal,1711.1385,6,0.52
2025-12-12,ADI.US,sell,282.2788,1174.32,signal,0.0,0,0.0
2025-12-15,ADI.US,buy,281.7708,1174.32,signal,596.5352,3,0.18
2025-12-22,ADI.US,buy,277.5787,1194.92,signal,0.0,0,0.0
2025-12-23,ADI.US,sell,275.4922,1194.92,signal,-2493.2395,1,-0.75
2026-01-05,ADI.US,buy,275.3576,1201.54,signal,0.0,0,0.0
2026-01-06,ADI.US,sell,279.6001,1201.54,signal,5097.5443,1,1.54
2026-01-12,ADI.US,sell,297.3512,1118.38,signal,0.0,0,0.0
2026-01-13,ADI.US,buy,295.3276,1118.38,signal,2263.2291,1,0.68
2026-01-15,ADI.US,buy,301.9609,1103.81,signal,0.0,0,0.0
2026-01-16,ADI.US,sell,307.3762,1103.81,signal,5977.4968,1,1.79
2026-01-20,ADI.US,buy,297.1385,1128.43,signal,0.0,0,0.0
2026-01-23,ADI.US,sell,310.3347,1128.43,signal,14891.0557,3,4.44
2026-01-23,ADI.US,sell,310.3347,1090.7,signal,0.0,0,0.0
2026-01-26,ADI.US,buy,305.3026,1090.7,signal,5488.5947,3,1.62
2026-01-28,ADI.US,buy,313.1565,1092.4,signal,0.0,0,0.0
2026-01-29,ADI.US,sell,315.912,1092.4,signal,3010.078,1,0.88
2026-01-30,ADI.US,sell,314.8025,1089.88,signal,0.0,0,0.0
2026-02-02,ADI.US,buy,307.0735,1089.88,signal,8423.724,3,2.46
2026-02-02,ADI.US,buy,307.0735,1114.87,signal,0.0,0,0.0
2026-02-10,ADI.US,sell,320.5796,1114.87,signal,15057.5979,8,4.4
2026-02-11,ADI.US,buy,330.0449,1063.26,signal,0.0,0,0.0
2026-02-12,ADI.US,sell,339.2003,1063.26,signal,9734.5336,1,2.77
2026-02-13,ADI.US,buy,329.8949,2147.15,signal,0.0,0,0.0
2026-02-17,ADI.US,sell,335.4322,2147.15,signal,11889.4783,4,1.68
2026-02-18,ADI.US,buy,352.3861,1016.3,signal,0.0,0,0.0
2026-02-23,ADI.US,sell,352.3537,1016.3,signal,-32.8902,5,-0.01
2026-02-24,ADI.US,sell,358.8205,998.05,signal,0.0,0,0.0
2026-03-02,ADI.US,buy,348.9544,998.05,signal,9846.8723,6,2.75
2026-03-04,ADI.US,buy,344.212,1049.94,signal,0.0,0,0.0
2026-03-05,ADI.US,sell,336.5816,1049.94,signal,-8011.4659,1,-2.22
2026-03-06,ADI.US,buy,319.6398,1122.3,signal,0.0,0,0.0
2026-03-09,ADI.US,sell,310.0849,1122.3,signal,-10723.4427,3,-2.99
2026-03-10,ADI.US,buy,318.8794,1113.77,signal,0.0,0,0.0
2026-03-11,ADI.US,sell,319.1304,1113.77,signal,279.5589,1,0.08
2026-03-13,ADI.US,buy,310.0349,1145.84,signal,0.0,0,0.0
2026-03-17,ADI.US,sell,312.0439,1145.84,signal,2301.9551,4,0.65
2026-03-23,ADI.US,buy,315.6378,1127.93,signal,0.0,0,0.0
2026-03-24,ADI.US,sell,311.0944,1127.93,signal,-5124.6101,1,-1.44
2026-04-01,ADI.US,buy,318.3591,1112.92,signal,0.0,0,0.0
2026-04-02,ADI.US,sell,310.1149,1112.92,signal,-9175.1998,1,-2.59
2026-04-09,ADI.US,buy,346.173,1014.67,signal,0.0,0,0.0
2026-04-10,ADI.US,sell,352.8235,1014.67,signal,6748.0628,1,1.92
2026-04-23,ADI.US,sell,397.701,888.86,signal,0.0,0,0.0
2026-04-24,ADI.US,buy,404.272,888.86,signal,-5840.6977,1,-1.65
2026-04-28,ADI.US,sell,389.6051,902.33,signal,0.0,0,0.0
2026-04-29,ADI.US,buy,392.196,902.33,signal,-2337.8578,1,-0.67
2026-04-29,ADI.US,buy,392.196,896.6,signal,0.0,0,0.0
2026-04-30,ADI.US,sell,393.1933,896.6,signal,894.1968,1,0.25
2026-05-06,ADI.US,buy,404.9123,867.03,signal,0.0,0,0.0
2026-05-07,ADI.US,sell,413.703,867.03,signal,7621.8025,1,2.17
